"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"05/01/2024 18:00:00 - 05/01/2024 19:00:00","BZN|FR","3900.96","4564.91","4499.48","4169.00"
"05/01/2024 19:00:00 - 05/01/2024 20:00:00","BZN|FR","3744.74","4315.25","4254.08","4456.00"
"05/01/2024 20:00:00 - 05/01/2024 21:00:00","BZN|FR","3808.29","4491.07","4433.65","4606.00"
"05/01/2024 21:00:00 - 05/01/2024 22:00:00","BZN|FR","3871.17","4667.41","4613.23","4678.00"
"05/01/2024 22:00:00 - 05/01/2024 23:00:00","BZN|FR","3933.95","4844.24","4792.58","4830.00"
"05/01/2024 23:00:00 - 06/01/2024 00:00:00","BZN|FR","3924.59","4621.20","4572.45","4966.00"
"06/01/2024 00:00:00 - 06/01/2024 01:00:00","BZN|FR","3953.28","4736.54","4736.54","5059.00"
"06/01/2024 01:00:00 - 06/01/2024 02:00:00","BZN|FR","3868.17","4665.93","4665.93","4718.00"
"06/01/2024 02:00:00 - 06/01/2024 03:00:00","BZN|FR","3946.38","4683.99","4683.99","4466.00"
"06/01/2024 03:00:00 - 06/01/2024 04:00:00","BZN|FR","4025.27","4703.20","4703.20","4511.00"
"06/01/2024 04:00:00 - 06/01/2024 05:00:00","BZN|FR","4104.22","4723.32","4723.32","4545.00"
"06/01/2024 05:00:00 - 06/01/2024 06:00:00","BZN|FR","4356.50","4905.07","4905.07","4594.00"
"06/01/2024 06:00:00 - 06/01/2024 07:00:00","BZN|FR","4609.03","5087.74","5087.74","4645.00"
"06/01/2024 07:00:00 - 06/01/2024 08:00:00","BZN|FR","4862.28","5067.24","5067.24","4912.00"
"06/01/2024 08:00:00 - 06/01/2024 09:00:00","BZN|FR","4984.67","4988.32","4988.32","5055.00"
"06/01/2024 09:00:00 - 06/01/2024 10:00:00","BZN|FR","5106.93","4945.93","4945.93","5012.00"
"06/01/2024 10:00:00 - 06/01/2024 11:00:00","BZN|FR","5228.58","4925.34","5216.63","4934.00"
"06/01/2024 11:00:00 - 06/01/2024 12:00:00","BZN|FR","5637.70","5308.41","5495.85","4881.00"
"06/01/2024 12:00:00 - 06/01/2024 13:00:00","BZN|FR","6047.46","5697.27","5827.76","4798.00"
"06/01/2024 13:00:00 - 06/01/2024 14:00:00","BZN|FR","6457.15","6089.19","6188.57","5190.00"
"06/01/2024 14:00:00 - 06/01/2024 15:00:00","BZN|FR","6669.94","6311.06","6387.77","5755.00"
"06/01/2024 15:00:00 - 06/01/2024 16:00:00","BZN|FR","6883.25","6533.85","6594.77","6316.00"
"06/01/2024 16:00:00 - 06/01/2024 17:00:00","BZN|FR","7096.64","6759.39","6808.45","6484.00"
"06/01/2024 17:00:00 - 06/01/2024 18:00:00","BZN|FR","7125.90","6975.65","7014.80","6396.00"
"06/01/2024 18:00:00 - 06/01/2024 19:00:00","BZN|FR","7154.80","7192.85","7222.81","6552.00"
"06/01/2024 19:00:00 - 06/01/2024 20:00:00","BZN|FR","7183.88","7409.60","7435.12","7014.00"
"06/01/2024 20:00:00 - 06/01/2024 21:00:00","BZN|FR","7182.27","7408.06","7430.76","7342.00"
"06/01/2024 21:00:00 - 06/01/2024 22:00:00","BZN|FR","7180.62","7407.36","7427.79","7226.00"
"06/01/2024 22:00:00 - 06/01/2024 23:00:00","BZN|FR","7179.02","7407.09","7424.18","7043.00"
"06/01/2024 23:00:00 - 07/01/2024 00:00:00","BZN|FR","7083.28","7283.54","7298.43","6765.00"
"07/01/2024 00:00:00 - 07/01/2024 01:00:00","BZN|FR","6576.74","6594.30","6594.30","6554.00"
"07/01/2024 01:00:00 - 07/01/2024 02:00:00","BZN|FR","6493.79","6388.33","6388.33","6369.00"
"07/01/2024 02:00:00 - 07/01/2024 03:00:00","BZN|FR","6563.15","6372.70","6372.70","6393.00"
"07/01/2024 03:00:00 - 07/01/2024 04:00:00","BZN|FR","6631.03","6359.62","6359.62","6481.00"
"07/01/2024 04:00:00 - 07/01/2024 05:00:00","BZN|FR","6698.66","6347.14","6347.14","6509.00"
"07/01/2024 05:00:00 - 07/01/2024 06:00:00","BZN|FR","6821.95","6464.37","6464.37","6477.00"
"07/01/2024 06:00:00 - 07/01/2024 07:00:00","BZN|FR","6945.18","6582.28","6582.28","6533.00"
"07/01/2024 07:00:00 - 07/01/2024 08:00:00","BZN|FR","7068.26","6722.86","6722.86","6381.00"
"07/01/2024 08:00:00 - 07/01/2024 09:00:00","BZN|FR","7188.74","6657.15","6657.15","6480.00"
"07/01/2024 09:00:00 - 07/01/2024 10:00:00","BZN|FR","7309.19","6606.93","6606.93","6349.00"
"07/01/2024 10:00:00 - 07/01/2024 11:00:00","BZN|FR","7428.89","6564.76","6647.51","6386.00"
"07/01/2024 11:00:00 - 07/01/2024 12:00:00","BZN|FR","8001.62","7019.01","7059.48","6318.00"
"07/01/2024 12:00:00 - 07/01/2024 13:00:00","BZN|FR","8574.38","7474.33","7495.92","6458.00"
"07/01/2024 13:00:00 - 07/01/2024 14:00:00","BZN|FR","9146.37","7927.82","7944.29","7001.00"
"07/01/2024 14:00:00 - 07/01/2024 15:00:00","BZN|FR","9232.48","8186.90","8196.94","7459.00"
"07/01/2024 15:00:00 - 07/01/2024 16:00:00","BZN|FR","9318.66","8445.79","8451.28","7691.00"
"07/01/2024 16:00:00 - 07/01/2024 17:00:00","BZN|FR","9405.13","8706.70","8706.08","7771.00"
"07/01/2024 17:00:00 - 07/01/2024 18:00:00","BZN|FR","9509.39","8934.48","8929.93","8069.00"
"07/01/2024 18:00:00 - 07/01/2024 19:00:00","BZN|FR","9614.84","9161.89","9154.11","8505.00"
"07/01/2024 19:00:00 - 07/01/2024 20:00:00","BZN|FR","9720.42","9388.16","9380.52","9278.00"
"07/01/2024 20:00:00 - 07/01/2024 21:00:00","BZN|FR","9855.30","9764.64","9756.97","9968.00"
"07/01/2024 21:00:00 - 07/01/2024 22:00:00","BZN|FR","9989.61","10140.92","10134.31","10349.00"
"07/01/2024 22:00:00 - 07/01/2024 23:00:00","BZN|FR","10123.47","10517.62","10510.69","10766.00"
"07/01/2024 23:00:00 - 08/01/2024 00:00:00","BZN|FR","10094.18","10266.32","10259.69","10562.00"
"08/01/2024 00:00:00 - 08/01/2024 01:00:00","BZN|FR","9930.50","10214.44","10214.44","10629.00"
"08/01/2024 01:00:00 - 08/01/2024 02:00:00","BZN|FR","9838.05","10190.89","10190.89","10274.00"
"08/01/2024 02:00:00 - 08/01/2024 03:00:00","BZN|FR","9838.11","10047.55","10047.55","10158.00"
"08/01/2024 03:00:00 - 08/01/2024 04:00:00","BZN|FR","9835.96","9912.00","9912.00","10171.00"
"08/01/2024 04:00:00 - 08/01/2024 05:00:00","BZN|FR","9833.80","9780.87","9780.87","10127.00"
"08/01/2024 05:00:00 - 08/01/2024 06:00:00","BZN|FR","9816.93","9777.59","9777.59","10164.00"
"08/01/2024 06:00:00 - 08/01/2024 07:00:00","BZN|FR","9799.48","9775.32","9775.32","10542.00"
"08/01/2024 07:00:00 - 08/01/2024 08:00:00","BZN|FR","9781.41","10885.84","10885.84","10712.00"
"08/01/2024 08:00:00 - 08/01/2024 09:00:00","BZN|FR","9617.39","10300.17","10300.17","10799.00"
"08/01/2024 09:00:00 - 08/01/2024 10:00:00","BZN|FR","9453.13","9823.11","9823.11","10267.00"
"08/01/2024 10:00:00 - 08/01/2024 11:00:00","BZN|FR","9288.05","9410.21","9967.61","9625.00"
"08/01/2024 11:00:00 - 08/01/2024 12:00:00","BZN|FR","9334.23","9622.32","9962.65","9017.00"
"08/01/2024 12:00:00 - 08/01/2024 13:00:00","BZN|FR","9381.31","9849.07","10075.20","8856.00"
"08/01/2024 13:00:00 - 08/01/2024 14:00:00","BZN|FR","9427.71","10085.98","10257.77","8937.00"
"08/01/2024 14:00:00 - 08/01/2024 15:00:00","BZN|FR","9254.29","9763.76","9898.25","8779.00"
"08/01/2024 15:00:00 - 08/01/2024 16:00:00","BZN|FR","9081.02","9446.13","9553.49","8071.00"
"08/01/2024 16:00:00 - 08/01/2024 17:00:00","BZN|FR","8908.30","9138.06","9218.60","7403.00"
"08/01/2024 17:00:00 - 08/01/2024 18:00:00","BZN|FR","8213.37","8442.56","8502.23","6631.00"
