"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"04/01/2024 01:00:00 - 04/01/2024 02:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"04/01/2024 02:00:00 - 04/01/2024 03:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"04/01/2024 03:00:00 - 04/01/2024 04:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"04/01/2024 04:00:00 - 04/01/2024 05:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"04/01/2024 05:00:00 - 04/01/2024 06:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"04/01/2024 06:00:00 - 04/01/2024 07:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"04/01/2024 07:00:00 - 04/01/2024 08:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"04/01/2024 08:00:00 - 04/01/2024 09:00:00","BZN|FR","0.00","0.00","0.00","244.00"
"04/01/2024 09:00:00 - 04/01/2024 10:00:00","BZN|FR","342.80","366.56","366.56","369.00"
"04/01/2024 10:00:00 - 04/01/2024 11:00:00","BZN|FR","2017.49","2111.81","2453.18","1437.00"
"04/01/2024 11:00:00 - 04/01/2024 12:00:00","BZN|FR","3983.16","4025.00","4654.24","3397.00"
"04/01/2024 12:00:00 - 04/01/2024 13:00:00","BZN|FR","5254.16","5153.18","5710.09","5129.00"
"04/01/2024 13:00:00 - 04/01/2024 14:00:00","BZN|FR","5528.39","5407.14","5683.22","5620.00"
"04/01/2024 14:00:00 - 04/01/2024 15:00:00","BZN|FR","4808.06","4775.93","4840.95","5093.00"
"04/01/2024 15:00:00 - 04/01/2024 16:00:00","BZN|FR","3214.94","3288.90","3290.32","3921.00"
"04/01/2024 16:00:00 - 04/01/2024 17:00:00","BZN|FR","1247.53","1250.93","1251.51","2370.00"
"04/01/2024 17:00:00 - 04/01/2024 18:00:00","BZN|FR","71.64","72.25","72.28","873.00"
"04/01/2024 18:00:00 - 04/01/2024 19:00:00","BZN|FR","0.00","0.00","0.00","262.00"
"04/01/2024 19:00:00 - 04/01/2024 20:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"04/01/2024 20:00:00 - 04/01/2024 21:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"04/01/2024 21:00:00 - 04/01/2024 22:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"04/01/2024 22:00:00 - 04/01/2024 23:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"04/01/2024 23:00:00 - 05/01/2024 00:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"05/01/2024 00:00:00 - 05/01/2024 01:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"05/01/2024 01:00:00 - 05/01/2024 02:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"05/01/2024 02:00:00 - 05/01/2024 03:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"05/01/2024 03:00:00 - 05/01/2024 04:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"05/01/2024 04:00:00 - 05/01/2024 05:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"05/01/2024 05:00:00 - 05/01/2024 06:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"05/01/2024 06:00:00 - 05/01/2024 07:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"05/01/2024 07:00:00 - 05/01/2024 08:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"05/01/2024 08:00:00 - 05/01/2024 09:00:00","BZN|FR","0.00","0.00","0.00","247.00"
"05/01/2024 09:00:00 - 05/01/2024 10:00:00","BZN|FR","210.26","211.09","211.09","304.00"
"05/01/2024 10:00:00 - 05/01/2024 11:00:00","BZN|FR","1368.89","1353.64","1389.23","680.00"
"05/01/2024 11:00:00 - 05/01/2024 12:00:00","BZN|FR","2763.75","2782.91","2732.53","1583.00"
"05/01/2024 12:00:00 - 05/01/2024 13:00:00","BZN|FR","3637.13","3592.79","3661.95","2588.00"
"05/01/2024 13:00:00 - 05/01/2024 14:00:00","BZN|FR","3844.72","3803.16","3849.65","3283.00"
"05/01/2024 14:00:00 - 05/01/2024 15:00:00","BZN|FR","3453.51","3550.52","3606.00","3293.00"
"05/01/2024 15:00:00 - 05/01/2024 16:00:00","BZN|FR","2470.21","2478.07","2477.31","2645.00"
"05/01/2024 16:00:00 - 05/01/2024 17:00:00","BZN|FR","981.01","962.60","962.47","1628.00"
"05/01/2024 17:00:00 - 05/01/2024 18:00:00","BZN|FR","57.54","58.34","58.33","631.00"
"05/01/2024 18:00:00 - 05/01/2024 19:00:00","BZN|FR","0.00","0.00","0.00","254.00"
"05/01/2024 19:00:00 - 05/01/2024 20:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"05/01/2024 20:00:00 - 05/01/2024 21:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"05/01/2024 21:00:00 - 05/01/2024 22:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"05/01/2024 22:00:00 - 05/01/2024 23:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"05/01/2024 23:00:00 - 06/01/2024 00:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"06/01/2024 00:00:00 - 06/01/2024 01:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"06/01/2024 01:00:00 - 06/01/2024 02:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"06/01/2024 02:00:00 - 06/01/2024 03:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"06/01/2024 03:00:00 - 06/01/2024 04:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"06/01/2024 04:00:00 - 06/01/2024 05:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"06/01/2024 05:00:00 - 06/01/2024 06:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"06/01/2024 06:00:00 - 06/01/2024 07:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"06/01/2024 07:00:00 - 06/01/2024 08:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"06/01/2024 08:00:00 - 06/01/2024 09:00:00","BZN|FR","0.00","0.00","0.00","236.00"
"06/01/2024 09:00:00 - 06/01/2024 10:00:00","BZN|FR","301.37","317.18","317.18","332.00"
"06/01/2024 10:00:00 - 06/01/2024 11:00:00","BZN|FR","1768.12","1860.40","2146.85","1119.00"
"06/01/2024 11:00:00 - 06/01/2024 12:00:00","BZN|FR","3332.40","3537.12","4012.86","2777.00"
"06/01/2024 12:00:00 - 06/01/2024 13:00:00","BZN|FR","4248.29","4511.65","4956.99","4122.00"
"06/01/2024 13:00:00 - 06/01/2024 14:00:00","BZN|FR","4618.07","4761.82","4996.67","4567.00"
"06/01/2024 14:00:00 - 06/01/2024 15:00:00","BZN|FR","4082.08","4368.14","4347.53","4344.00"
"06/01/2024 15:00:00 - 06/01/2024 16:00:00","BZN|FR","2917.37","3073.36","3074.91","3756.00"
"06/01/2024 16:00:00 - 06/01/2024 17:00:00","BZN|FR","1273.05","1281.26","1281.67","2383.00"
"06/01/2024 17:00:00 - 06/01/2024 18:00:00","BZN|FR","83.84","87.99","88.00","904.00"
"06/01/2024 18:00:00 - 06/01/2024 19:00:00","BZN|FR","0.00","0.00","0.00","259.00"
